id,name,rarity,form,t1,t2,rank,mult,industry,agriculture,military,logistics,arcane,exclusive,kingdom_work,war_duties,brings_home,second_nature
19,Quillster,rare,1,Neutral,,Elite,1.35,54,54,54,54,41,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output",
20,Baulder,rare,1,Dragon,,Elite,1.35,41,14,100,41,68,false,"Treasury Guarding; Grand Construction Oversight; Relic Keeping","Elite Shock Units; Air Superiority; Terror Tactics","Treasure Hoards; Prestige; Tribute",
22,Vibe,rare,1,Phantom,,Elite,1.35,14,7,81,47,81,false,"Night Watch; Archives of Secrets; Dream Tending","Espionage; Sabotage; Night Operations; Fear Warfare","Intelligence; Contraband Recovery",
23,Swifty,uncommon,1,Telepath,,Adept,1.15,23,23,35,52,81,false,"Coordination; Diplomacy; Census & Planning; Education","Command Relay; Morale Operations; Interrogation","Administration; Treaties; Efficiency Gains",
24,Pangrass,uncommon,1,Leaf,Neutral,Adept,1.15,33,77,37,41,36,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","General Labor; Apprenticeships; Shopkeeping; Reserves"
25,Mintol,common,1,Leaf,Ice,Companion,1,24,63,39,36,33,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Cold Storage; Preservation; Glacier Harvesting; Winter Warfare"
26,Omnom,common,1,Water,Mystic,Companion,1,24,38,44,55,44,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries","Arcane Research; Enchanting; Divination; Battle Magi"
27,Kyari,common,1,Fire,Telepath,Companion,1,58,13,56,31,46,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production","Coordination; Diplomacy; Census & Planning; Command Relay"
28,Lectrobe,common,1,Lightning,Toxin,Companion,1,53,25,52,28,63,false,"Workshops; Machinery; Automation; Magical Infrastructure; Research","Battlefield Support; Arcane Engineering","Technology; Advanced Crafting; Automation","Alchemy; Medicine Brewing; Pest Control; Poison Warfare"
29,Mirrie,uncommon,1,Phantom,Iron,Adept,1.15,47,7,82,39,54,false,"Night Watch; Archives of Secrets; Dream Tending","Espionage; Sabotage; Night Operations; Fear Warfare","Intelligence; Contraband Recovery","Metallurgy; Heavy Manufacturing; Armor Smithing; Armored Units"
30,Cobrus,uncommon,1,Dragon,,Adept,1.15,35,12,86,35,57,false,"Treasury Guarding; Grand Construction Oversight; Relic Keeping","Elite Shock Units; Air Superiority; Terror Tactics","Treasure Hoards; Prestige; Tribute",
31,Lollipunch,uncommon,1,Combat,,Adept,1.15,23,12,86,29,12,false,"Guard Duty; Militia Training; Arena Instruction; Escort Work","Front Line; Duelists; Drill Sergeants; Vanguard","Security; Mercenary Contracts; Training Fees",
32,Odwig,common,1,Leaf,,Companion,1,15,70,20,25,25,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth",
33,Tygloo,common,1,Ice,Neutral,Companion,1,39,39,57,46,38,false,"Cold Storage; Preservation; Glacier Harvesting; Arctic Pathfinding","Winter Warfare; Slowing Fields; Frost Garrisons","Preserved Goods; Rare Ice Cores; Northern Trade","General Labor; Apprenticeships; Shopkeeping; Reserves"
34,Pudde,common,1,Water,Telepath,Companion,1,27,41,42,66,42,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries","Coordination; Diplomacy; Census & Planning; Command Relay"
35,Mushmite,common,1,Water,,Companion,1,25,45,40,65,15,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries",
36,Polynimo,common,1,Fire,,Companion,1,70,5,60,15,20,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production",
37,Fuirrel,uncommon,1,Neutral,,Adept,1.15,46,46,46,46,35,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output",
38,Dillow,rare,2,Leaf,Toxin,Elite,1.35,30,90,46,32,57,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Alchemy; Medicine Brewing; Pest Control; Poison Warfare"
39,Pyrode,common,2,Fire,,Companion,1,70,5,60,15,20,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production",
40,Moranagi,uncommon,2,Water,,Adept,1.15,29,52,46,75,17,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries",
41,Moldec,rare,2,Phantom,Toxin,Elite,1.35,24,30,84,42,90,false,"Night Watch; Archives of Secrets; Dream Tending","Espionage; Sabotage; Night Operations; Fear Warfare","Intelligence; Contraband Recovery","Alchemy; Medicine Brewing; Pest Control; Poison Warfare"
42,Oculid,uncommon,2,Toxin,,Adept,1.15,29,46,52,17,63,false,"Alchemy; Medicine Brewing; Pest Control; Waste Reclamation","Poison Warfare; Area Denial; Antidote Corps","Potions; Antidotes; Reagents",
43,Surinari,uncommon,2,Lightning,,Adept,1.15,69,12,52,35,63,false,"Workshops; Machinery; Automation; Magical Infrastructure; Research","Battlefield Support; Arcane Engineering","Technology; Advanced Crafting; Automation",
44,Silvyx,rare,2,Mystic,,Elite,1.35,20,20,47,27,100,false,"Arcane Research; Enchanting; Divination; Academy Teaching","Battle Magi; Ward Casters; Ritual Support","Scrolls; Enchantments; Knowledge",
45,Coronoid,rare,2,Neutral,Mystic,Elite,1.35,47,47,59,50,74,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output","Arcane Research; Enchanting; Divination; Battle Magi"
46,Watadzumi,rare,2,Neutral,Combat,Elite,1.35,50,45,84,53,35,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output","Guard Duty; Militia Training; Arena Instruction; Front Line"
47,Fuenago,uncommon,2,Fire,,Adept,1.15,81,6,69,17,23,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production",
48,Geckelic,rare,2,Telepath,,Elite,1.35,27,27,41,61,95,false,"Coordination; Diplomacy; Census & Planning; Education","Command Relay; Morale Operations; Interrogation","Administration; Treaties; Efficiency Gains",
49,Blockall,rare,2,Combat,,Elite,1.35,27,14,100,34,14,false,"Guard Duty; Militia Training; Arena Instruction; Escort Work","Front Line; Duelists; Drill Sergeants; Vanguard","Security; Mercenary Contracts; Training Fees",
50,Geerex,rare,2,Neutral,,Elite,1.35,54,54,54,54,41,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output",
51,Dredrock,legendary,2,Dragon,Rock,Champion,1.7,90,20,100,48,63,false,"Treasury Guarding; Grand Construction Oversight; Relic Keeping","Elite Shock Units; Air Superiority; Terror Tactics","Treasure Hoards; Prestige; Tribute","Quarrying; Heavy Construction; Road Building; Bulwark Units"
52,Florost,uncommon,2,Leaf,Ice,Adept,1.15,28,72,45,41,38,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Cold Storage; Preservation; Glacier Harvesting; Winter Warfare"
53,Yumee,uncommon,2,Water,Mystic,Adept,1.15,28,44,51,63,51,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries","Arcane Research; Enchanting; Divination; Battle Magi"
54,Candeliria,uncommon,2,Fire,Telepath,Adept,1.15,67,15,64,36,53,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production","Coordination; Diplomacy; Census & Planning; Command Relay"
55,Wrektric,uncommon,2,Lightning,Toxin,Adept,1.15,61,29,60,32,72,false,"Workshops; Machinery; Automation; Magical Infrastructure; Research","Battlefield Support; Arcane Engineering","Technology; Advanced Crafting; Automation","Alchemy; Medicine Brewing; Pest Control; Poison Warfare"
56,Reflectre,rare,2,Phantom,Iron,Elite,1.35,55,8,96,46,63,false,"Night Watch; Archives of Secrets; Dream Tending","Espionage; Sabotage; Night Operations; Fear Warfare","Intelligence; Contraband Recovery","Metallurgy; Heavy Manufacturing; Armor Smithing; Armored Units"
57,Dracobra,rare,2,Dragon,,Elite,1.35,41,14,100,41,68,false,"Treasury Guarding; Grand Construction Oversight; Relic Keeping","Elite Shock Units; Air Superiority; Terror Tactics","Treasure Hoards; Prestige; Tribute",
58,Mawverize,rare,2,Combat,,Elite,1.35,27,14,100,34,14,false,"Guard Duty; Militia Training; Arena Instruction; Escort Work","Front Line; Duelists; Drill Sergeants; Vanguard","Security; Mercenary Contracts; Training Fees",
59,Occlusk,uncommon,2,Leaf,Iron,Adept,1.15,51,59,49,31,25,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Metallurgy; Heavy Manufacturing; Armor Smithing; Armored Units"
60,Mechloo,uncommon,2,Ice,Neutral,Adept,1.15,45,45,66,53,44,false,"Cold Storage; Preservation; Glacier Harvesting; Arctic Pathfinding","Winter Warfare; Slowing Fields; Frost Garrisons","Preserved Goods; Rare Ice Cores; Northern Trade","General Labor; Apprenticeships; Shopkeeping; Reserves"
61,Aquary,uncommon,2,Water,Telepath,Adept,1.15,31,47,48,76,48,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries","Coordination; Diplomacy; Census & Planning; Command Relay"
62,Squake,rare,2,Neutral,Earth,Elite,1.35,77,53,72,50,35,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output","Mining; Quarrying; Construction; Heavy Infantry"
63,Qairrel,rare,3,Neutral,Flyer,Elite,1.35,45,47,65,81,38,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output","Couriers; Scouts; Caravan Leaders; Reconnaissance"
64,Dillossus,rare,3,Leaf,Toxin,Elite,1.35,30,90,46,32,57,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Alchemy; Medicine Brewing; Pest Control; Poison Warfare"
65,Raxplode,uncommon,3,Fire,,Adept,1.15,81,6,69,17,23,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production",
66,Dehedra,rare,3,Phantom,Toxin,Elite,1.35,24,30,84,42,90,false,"Night Watch; Archives of Secrets; Dream Tending","Espionage; Sabotage; Night Operations; Fear Warfare","Intelligence; Contraband Recovery","Alchemy; Medicine Brewing; Pest Control; Poison Warfare"
67,Aphroxid,rare,3,Toxin,,Elite,1.35,34,54,61,20,74,false,"Alchemy; Medicine Brewing; Pest Control; Waste Reclamation","Poison Warfare; Area Denial; Antidote Corps","Potions; Antidotes; Reagents",
68,Tekagon,mythic,3,Dragon,Rock,Ancient,2.2,100,26,100,62,81,false,"Treasury Guarding; Grand Construction Oversight; Relic Keeping","Elite Shock Units; Air Superiority; Terror Tactics","Treasure Hoards; Prestige; Tribute","Quarrying; Heavy Construction; Road Building; Bulwark Units"
69,Aromerita,rare,3,Leaf,Ice,Elite,1.35,32,85,53,49,45,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Cold Storage; Preservation; Glacier Harvesting; Winter Warfare"
70,Liscious,uncommon,3,Water,Mystic,Adept,1.15,28,44,51,63,51,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries","Arcane Research; Enchanting; Divination; Battle Magi"
71,Resurvy,rare,3,Water,Telepath,Elite,1.35,36,55,57,89,57,false,"Fishing; Irrigation; Harbor Operations; Navigation; Water Mills","Naval Crew; Marines; River Logistics","Shipping; Trade; Fisheries","Coordination; Diplomacy; Census & Planning; Command Relay"
72,Morinori,common,1,Iron,,Companion,1,75,5,65,20,10,false,"Metallurgy; Heavy Manufacturing; Armor Smithing; Rail Building","Armored Units; Warmachine Crews; Line Breakers","Steel; Machinery; Armaments",
73,Gremin,common,1,Flyer,,Companion,1,10,15,45,70,15,false,"Couriers; Scouts; Caravan Leaders; Exploration; Messengers","Reconnaissance; Fast Cavalry; Ambush Specialists","Transport; Trade Routes; Logistics",
74,Spoxin,uncommon,1,Toxin,,Adept,1.15,29,46,52,17,63,false,"Alchemy; Medicine Brewing; Pest Control; Waste Reclamation","Poison Warfare; Area Denial; Antidote Corps","Potions; Antidotes; Reagents",
75,Intelix,uncommon,1,Mystic,,Adept,1.15,17,17,40,23,86,false,"Arcane Research; Enchanting; Divination; Academy Teaching","Battle Magi; Ward Casters; Ritual Support","Scrolls; Enchantments; Knowledge",
76,Lilspri,uncommon,1,Leaf,,Adept,1.15,17,81,23,29,29,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth",
77,Inkami,common,1,Flyer,Telepath,Companion,1,16,20,45,69,42,false,"Couriers; Scouts; Caravan Leaders; Exploration; Messengers","Reconnaissance; Fast Cavalry; Ambush Specialists","Transport; Trade Routes; Logistics","Coordination; Diplomacy; Census & Planning; Command Relay"
78,Redhandit,uncommon,1,Combat,Phantom,Adept,1.15,22,10,92,38,39,false,"Guard Duty; Militia Training; Arena Instruction; Escort Work","Front Line; Duelists; Drill Sergeants; Vanguard","Security; Mercenary Contracts; Training Fees","Night Watch; Archives of Secrets; Dream Tending; Espionage"
79,Endorr,uncommon,1,Leaf,Rock,Adept,1.15,48,62,47,28,23,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Quarrying; Heavy Construction; Road Building; Bulwark Units"
80,Sonectid,common,1,Insect,Iron,Companion,1,69,41,54,30,12,false,"Swarm Labor; Pollination; Silk Production; Tunnel Networks","Swarm Tactics; Attrition Units; Field Repair","Silk; Honey; Rapid Construction","Metallurgy; Heavy Manufacturing; Armor Smithing; Armored Units"
81,Cryptise,uncommon,1,Phantom,Earth,Adept,1.15,41,17,77,39,54,false,"Night Watch; Archives of Secrets; Dream Tending","Espionage; Sabotage; Night Operations; Fear Warfare","Intelligence; Contraband Recovery","Mining; Quarrying; Construction; Heavy Infantry"
82,Tenteink,uncommon,2,Flyer,Telepath,Adept,1.15,18,23,52,79,48,false,"Couriers; Scouts; Caravan Leaders; Exploration; Messengers","Reconnaissance; Fast Cavalry; Ambush Specialists","Transport; Trade Routes; Logistics","Coordination; Diplomacy; Census & Planning; Command Relay"
83,Criminiac,rare,2,Combat,Phantom,Elite,1.35,26,12,100,45,46,false,"Guard Duty; Militia Training; Arena Instruction; Escort Work","Front Line; Duelists; Drill Sergeants; Vanguard","Security; Mercenary Contracts; Training Fees","Night Watch; Archives of Secrets; Dream Tending; Espionage"
84,Endrowth,rare,2,Leaf,Rock,Elite,1.35,57,73,55,32,27,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Quarrying; Heavy Construction; Road Building; Bulwark Units"
85,Nuklectid,uncommon,2,Insect,Iron,Adept,1.15,79,47,62,35,14,false,"Swarm Labor; Pollination; Silk Production; Tunnel Networks","Swarm Tactics; Attrition Units; Field Repair","Silk; Honey; Rapid Construction","Metallurgy; Heavy Manufacturing; Armor Smithing; Armored Units"
86,Cremortus,rare,2,Phantom,Earth,Elite,1.35,49,20,90,46,63,false,"Night Watch; Archives of Secrets; Dream Tending","Espionage; Sabotage; Night Operations; Fear Warfare","Intelligence; Contraband Recovery","Mining; Quarrying; Construction; Heavy Infantry"
87,Monstratos,rare,3,Leaf,Rock,Elite,1.35,57,73,55,32,27,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Quarrying; Heavy Construction; Road Building; Bulwark Units"
88,Duscre,rare,3,Phantom,Earth,Elite,1.35,49,20,90,46,63,false,"Night Watch; Archives of Secrets; Dream Tending","Espionage; Sabotage; Night Operations; Fear Warfare","Intelligence; Contraband Recovery","Mining; Quarrying; Construction; Heavy Infantry"
89,Mapla,rare,2,Leaf,Neutral,Elite,1.35,39,90,43,49,42,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","General Labor; Apprenticeships; Shopkeeping; Reserves"
90,Barkindle,rare,1,Fire,Combat,Elite,1.35,78,11,100,30,26,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production","Guard Duty; Militia Training; Arena Instruction; Front Line"
91,Wolflaze,legendary,2,Fire,Combat,Champion,1.7,99,14,100,37,32,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production","Guard Duty; Militia Training; Arena Instruction; Front Line"
92,Wolverize,mythic,3,Fire,Combat,Ancient,2.2,100,18,100,48,42,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production","Guard Duty; Militia Training; Arena Instruction; Front Line"
93,Ruffski,rare,1,Ice,Neutral,Elite,1.35,53,53,77,62,51,false,"Cold Storage; Preservation; Glacier Harvesting; Arctic Pathfinding","Winter Warfare; Slowing Fields; Frost Garrisons","Preserved Goods; Rare Ice Cores; Northern Trade","General Labor; Apprenticeships; Shopkeeping; Reserves"
94,Arblizen,legendary,2,Ice,Neutral,Champion,1.7,66,66,97,78,65,false,"Cold Storage; Preservation; Glacier Harvesting; Arctic Pathfinding","Winter Warfare; Slowing Fields; Frost Garrisons","Preserved Goods; Rare Ice Cores; Northern Trade","General Labor; Apprenticeships; Shopkeeping; Reserves"
95,Siberizen,mythic,3,Ice,Neutral,Ancient,2.2,86,86,100,100,84,false,"Cold Storage; Preservation; Glacier Harvesting; Arctic Pathfinding","Winter Warfare; Slowing Fields; Frost Garrisons","Preserved Goods; Rare Ice Cores; Northern Trade","General Labor; Apprenticeships; Shopkeeping; Reserves"
96,Tundrill,common,1,Earth,,Companion,1,65,25,55,20,10,false,"Mining; Quarrying; Construction; Masonry; Excavation; Terraforming","Heavy Infantry; Shield Units; Defensive Engineers; Fortress Builders","Stone; Clay; Iron; Granite; Mountain Infrastructure",
97,Matara,common,1,Earth,,Companion,1,65,25,55,20,10,false,"Mining; Quarrying; Construction; Masonry; Excavation; Terraforming","Heavy Infantry; Shield Units; Defensive Engineers; Fortress Builders","Stone; Clay; Iron; Granite; Mountain Infrastructure",
98,Matarama,uncommon,2,Earth,Iron,Adept,1.15,91,23,78,26,14,false,"Mining; Quarrying; Construction; Masonry; Excavation; Terraforming","Heavy Infantry; Shield Units; Defensive Engineers; Fortress Builders","Stone; Clay; Iron; Granite; Mountain Infrastructure","Metallurgy; Heavy Manufacturing; Armor Smithing; Armored Units"
99,MalakelE,uncommon,1,Toxin,Combat,Adept,1.15,31,38,75,25,49,false,"Alchemy; Medicine Brewing; Pest Control; Waste Reclamation","Poison Warfare; Area Denial; Antidote Corps","Potions; Antidotes; Reagents","Guard Duty; Militia Training; Arena Instruction; Front Line"
100,KahukelE,rare,2,Toxin,Combat,Elite,1.35,36,45,88,30,58,false,"Alchemy; Medicine Brewing; Pest Control; Waste Reclamation","Poison Warfare; Area Denial; Antidote Corps","Potions; Antidotes; Reagents","Guard Duty; Militia Training; Arena Instruction; Front Line"
101,Tobeno,common,1,Neutral,Flyer,Companion,1,33,35,48,60,28,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output","Couriers; Scouts; Caravan Leaders; Reconnaissance"
102,Puremu,uncommon,2,Neutral,Flyer,Adept,1.15,38,40,55,69,32,false,"General Labor; Apprenticeships; Shopkeeping; Any Trade","Reserves; Auxiliary Corps; Logistics Support","Flexible Labor; Steady Output","Couriers; Scouts; Caravan Leaders; Reconnaissance"
103,Flaraton,common,1,Fire,Earth,Companion,1,78,15,67,20,19,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production","Mining; Quarrying; Construction; Heavy Infantry"
104,Inferacoon,uncommon,2,Fire,Earth,Adept,1.15,90,17,77,23,22,false,"Blacksmithing; Smelting; Glass Making; Metal Refining; Weapon Crafting","Siege Engineers; Assault Units; Artillery Specialists","Weapons; Armor; Industrial Production","Mining; Quarrying; Construction; Heavy Infantry"
105,Scubella,common,1,Ice,,Companion,1,30,30,55,40,35,false,"Cold Storage; Preservation; Glacier Harvesting; Arctic Pathfinding","Winter Warfare; Slowing Fields; Frost Garrisons","Preserved Goods; Rare Ice Cores; Northern Trade",
106,Ekopi,uncommon,1,Leaf,Earth,Adept,1.15,46,69,45,31,25,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Mining; Quarrying; Construction; Heavy Infantry"
107,Ekoraft,rare,2,Leaf,Earth,Elite,1.35,54,81,53,36,30,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Mining; Quarrying; Construction; Heavy Infantry"
108,Expertri,rare,3,Leaf,Earth,Elite,1.35,54,81,53,36,30,false,"Farming; Forestry; Herbalism; Ranching; Orchard Management","Medical Support; Supply Corps","Food; Timber; Medicine; Population Growth","Mining; Quarrying; Construction; Heavy Infantry"
109,Purgast,uncommon,1,Telepath,,Adept,1.15,23,23,35,52,81,false,"Coordination; Diplomacy; Census & Planning; Education","Command Relay; Morale Operations; Interrogation","Administration; Treaties; Efficiency Gains",
110,Smeltal,uncommon,1,Combat,,Adept,1.15,23,12,86,29,12,false,"Guard Duty; Militia Training; Arena Instruction; Escort Work","Front Line; Duelists; Drill Sergeants; Vanguard","Security; Mercenary Contracts; Training Fees",
111,Vorvosip,uncommon,1,Insect,,Adept,1.15,57,63,40,35,12,false,"Swarm Labor; Pollination; Silk Production; Tunnel Networks","Swarm Tactics; Attrition Units; Field Repair","Silk; Honey; Rapid Construction",
112,Devostoric,uncommon,1,Rock,,Adept,1.15,81,12,69,17,6,false,"Quarrying; Heavy Construction; Road Building; Demolition","Bulwark Units; Siege Absorption; Wall Wardens","Granite; Ore; Fortifications",
